PersonenID,Alter,Geschlecht,Beruf,Haushaltstyp,Wohnviertel,Startzeit,Endzeit,Startort,Zielort,Zweck,Entfernung_km,Verkehrsmittel,Multimodal
1,56,männlich,Arbeitslos,alleinlebend,Innenstadt,05:41,06:18,Herrenstraße,Kriegsstraße,Einkaufen,5.1,Fahrrad,nein
1,56,männlich,Arbeitslos,alleinlebend,Innenstadt,10:33,11:18,Kriegsstraße,Kaiserstraße,Sport,3.9,Fahrrad,nein
1,56,männlich,Arbeitslos,alleinlebend,Innenstadt,19:57,20:07,Kaiserstraße,Turmberg,Sport,3.4,ÖPNV,nein
1,56,männlich,Arbeitslos,alleinlebend,Innenstadt,22:36,23:07,Turmberg,Generalbundesanwalt,Sport,4.1,Auto,nein
1,56,männlich,Arbeitslos,alleinlebend,Innenstadt,23:42,00:08,Generalbundesanwalt,Rüppurrer Straße,Einkaufen,3.4,zu Fuß,nein
1,56,männlich,Arbeitslos,alleinlebend,Innenstadt,08:03,08:36,Rüppurrer Straße,Kammertheater Karlsruhe,Arbeit,3.6,multimodal,ja
1,56,männlich,Arbeitslos,alleinlebend,Innenstadt,13:11,13:26,Kammertheater Karlsruhe,Oberreut,Sport,6.4,ÖPNV,nein
1,56,männlich,Arbeitslos,alleinlebend,Innenstadt,18:17,18:37,Oberreut,Herrenstraße,Heimweg,5.5,ÖPNV,nein
2,69,weiblich,Arbeitslos,alleinlebend,Knielingen,06:58,07:43,Bundesgerichtshof,Kriegsstraße,Arbeit,6.9,Fahrrad,nein
2,69,weiblich,Arbeitslos,alleinlebend,Knielingen,14:29,15:04,Kriegsstraße,Staatliche Kunsthalle Karlsruhe,Schule/Uni,4.7,E-Scooter,nein
2,69,weiblich,Arbeitslos,alleinlebend,Knielingen,15:16,15:57,Staatliche Kunsthalle Karlsruhe,Südweststadt,Arztbesuch,3.5,Fahrrad,nein
2,69,weiblich,Arbeitslos,alleinlebend,Knielingen,18:50,19:35,Südweststadt,Karlsbader Straße,Sport,3.6,E-Scooter,nein
2,69,weiblich,Arbeitslos,alleinlebend,Knielingen,20:03,20:21,Karlsbader Straße,Rüppurrer Straße,Arbeit,2.9,Auto,nein
2,69,weiblich,Arbeitslos,alleinlebend,Knielingen,20:56,21:33,Rüppurrer Straße,Kreativpark Alter Schlachthof,Sport,5.9,E-Scooter,nein
2,69,weiblich,Arbeitslos,alleinlebend,Knielingen,22:27,23:12,Kreativpark Alter Schlachthof,Bundesgerichtshof,Heimweg,3.5,Auto,nein
3,46,männlich,Rentner*in,Familie mit Kindern,Südweststadt,06:28,06:38,Sophienstraße,Oberwald,Freizeit,7.3,E-Scooter,nein
3,46,männlich,Rentner*in,Familie mit Kindern,Südweststadt,07:04,07:33,Oberwald,Staatliche Kunsthalle Karlsruhe,Erholung,6.3,Fahrrad,nein
3,46,männlich,Rentner*in,Familie mit Kindern,Südweststadt,12:51,13:34,Staatliche Kunsthalle Karlsruhe,Sophienstraße,Heimweg,5.1,Auto,nein
4,32,weiblich,Schüler*in,Familie mit Kindern,Oststadt,05:40,06:21,Wildparkstadion,Erbprinzenstraße,Freizeit,7.3,Fahrrad,nein
4,32,weiblich,Schüler*in,Familie mit Kindern,Oststadt,07:39,07:59,Erbprinzenstraße,Wolfartsweier,Sport,6.8,Fahrrad,nein
4,32,weiblich,Schüler*in,Familie mit Kindern,Oststadt,08:25,08:47,Wolfartsweier,Waldstadt Zentrum,Erholung,5.4,zu Fuß,nein
4,32,weiblich,Schüler*in,Familie mit Kindern,Oststadt,09:09,09:34,Waldstadt Zentrum,Wildparkstadion,Heimweg,2.2,Fahrrad,nein
5,60,weiblich,Rentner*in,Paar ohne Kinder,Mühlburg,05:37,06:01,Siemensallee,Badische Landesbibliothek,Arbeit,3.2,ÖPNV,nein
5,60,weiblich,Rentner*in,Paar ohne Kinder,Mühlburg,07:28,08:09,Badische Landesbibliothek,Alter Schlachthof,Freizeit,6.0,multimodal,ja
5,60,weiblich,Rentner*in,Paar ohne Kinder,Mühlburg,16:45,17:25,Alter Schlachthof,Siemensallee,Heimweg,6.8,Fahrrad,nein
6,25,männlich,Student*in,alleinlebend,Durlach,06:53,07:09,Oberwald,Neureuter Hauptstraße,Erholung,3.2,Auto,nein
6,25,männlich,Student*in,alleinlebend,Durlach,14:35,15:13,Neureuter Hauptstraße,Hofgarten,Freizeit,6.6,ÖPNV,nein
6,25,männlich,Student*in,alleinlebend,Durlach,17:07,17:21,Hofgarten,Schlossgarten,Einkaufen,5.4,Auto,nein
6,25,männlich,Student*in,alleinlebend,Durlach,18:42,18:52,Schlossgarten,Südweststadt,Schule/Uni,4.8,Fahrrad,nein
6,25,männlich,Student*in,alleinlebend,Durlach,20:21,20:56,Südweststadt,Bundesgerichtshof,Sport,4.7,Auto,nein
6,25,männlich,Student*in,alleinlebend,Durlach,02:20,02:59,Bundesgerichtshof,Durlach Zentrum,Arztbesuch,3.3,Fahrrad,nein
6,25,männlich,Student*in,alleinlebend,Durlach,03:22,03:35,Durlach Zentrum,Kammertheater Karlsruhe,Arbeit,5.1,Auto,nein
6,25,männlich,Student*in,alleinlebend,Durlach,10:15,10:58,Kammertheater Karlsruhe,Oberwald,Heimweg,4.4,Fahrrad,nein
7,78,männlich,Student*in,alleinlebend,Durlach,06:49,07:04,Erbprinzenstraße,Alter Flugplatz,Erholung,5.5,ÖPNV,nein
7,78,männlich,Student*in,alleinlebend,Durlach,09:28,09:53,Alter Flugplatz,Hagsfeld,Freizeit,5.0,multimodal,ja
7,78,männlich,Student*in,alleinlebend,Durlach,10:15,10:29,Hagsfeld,Wolfartsweier,Einkaufen,5.1,Auto,nein
7,78,männlich,Student*in,alleinlebend,Durlach,18:23,18:41,Wolfartsweier,Kriegsstraße,Einkaufen,3.3,Fahrrad,nein
7,78,männlich,Student*in,alleinlebend,Durlach,21:33,22:17,Kriegsstraße,Palmbach,Arbeit,4.6,multimodal,ja
7,78,männlich,Student*in,alleinlebend,Durlach,22:46,23:02,Palmbach,Neureut,Einkaufen,3.8,Auto,nein
7,78,männlich,Student*in,alleinlebend,Durlach,00:35,01:03,Neureut,Schloss Karlsruhe,Schule/Uni,4.1,multimodal,ja
7,78,männlich,Student*in,alleinlebend,Durlach,07:58,08:39,Schloss Karlsruhe,Erbprinzenstraße,Heimweg,7.2,ÖPNV,nein
8,38,männlich,Schüler*in,Wohngemeinschaft,Oststadt,05:46,06:12,KIT Campus Süd,Bismarckstraße,Arztbesuch,5.6,E-Scooter,nein
8,38,männlich,Schüler*in,Wohngemeinschaft,Oststadt,08:46,09:03,Bismarckstraße,Stadtmuseum Karlsruhe,Freizeit,3.7,E-Scooter,nein
8,38,männlich,Schüler*in,Wohngemeinschaft,Oststadt,10:33,11:18,Stadtmuseum Karlsruhe,KIT Campus Süd,Heimweg,2.8,Fahrrad,nein
9,56,männlich,Angestellt,alleinlebend,Südweststadt,06:15,07:00,Sandkorn Theater,Kriegsstraße,Freizeit,7.7,Fahrrad,nein
9,56,männlich,Angestellt,alleinlebend,Südweststadt,09:19,09:40,Kriegsstraße,Badisches Staatstheater,Freizeit,6.9,multimodal,ja
9,56,männlich,Angestellt,alleinlebend,Südweststadt,10:43,11:19,Badisches Staatstheater,Rüppurrer Straße,Freizeit,6.1,multimodal,ja
9,56,männlich,Angestellt,alleinlebend,Südweststadt,17:35,18:15,Rüppurrer Straße,Sandkorn Theater,Heimweg,6.4,Fahrrad,nein
10,75,männlich,Angestellt,Familie mit Kindern,Mühlburg,06:12,06:39,Europabad,Stadthalle Karlsruhe,Begleitung,4.8,ÖPNV,nein
10,75,männlich,Angestellt,Familie mit Kindern,Mühlburg,07:58,08:42,Stadthalle Karlsruhe,Stadtgarten,Arbeit,4.5,Auto,nein
10,75,männlich,Angestellt,Familie mit Kindern,Mühlburg,11:42,12:08,Stadtgarten,Alter Flugplatz,Sport,4.5,ÖPNV,nein
10,75,männlich,Angestellt,Familie mit Kindern,Mühlburg,17:03,17:45,Alter Flugplatz,Europabad,Heimweg,5.2,Auto,nein
11,36,weiblich,Angestellt,alleinlebend,Neureut,06:57,07:19,Beiertheim-Bulach,Christuskirche,Einkaufen,6.2,multimodal,ja
11,36,weiblich,Angestellt,alleinlebend,Neureut,09:14,09:31,Christuskirche,Rüppurr,Begleitung,4.4,multimodal,ja
11,36,weiblich,Angestellt,alleinlebend,Neureut,09:57,10:25,Rüppurr,Beiertheim-Bulach,Heimweg,4.1,E-Scooter,nein
12,40,weiblich,Selbstständig,Paar ohne Kinder,Oststadt,06:25,06:55,Grötzingen,St. Konrad Kirche,Arztbesuch,4.4,multimodal,ja
12,40,weiblich,Selbstständig,Paar ohne Kinder,Oststadt,07:53,08:13,St. Konrad Kirche,KIT Campus Süd,Erholung,6.6,Auto,nein
12,40,weiblich,Selbstständig,Paar ohne Kinder,Oststadt,09:01,09:30,KIT Campus Süd,Kanalweg,Freizeit,6.5,Auto,nein
12,40,weiblich,Selbstständig,Paar ohne Kinder,Oststadt,15:11,15:25,Kanalweg,Waldstraße,Schule/Uni,5.3,multimodal,ja
12,40,weiblich,Selbstständig,Paar ohne Kinder,Oststadt,16:21,16:46,Waldstraße,Friedrichsplatz,Arbeit,4.2,Auto,nein
12,40,weiblich,Selbstständig,Paar ohne Kinder,Oststadt,19:09,19:52,Friedrichsplatz,Grötzingen,Heimweg,3.2,zu Fuß,nein
13,28,weiblich,Schüler*in,Wohngemeinschaft,Knielingen,06:34,07:11,Südweststadt,Badisches Staatstheater,Freizeit,5.3,multimodal,ja
13,28,weiblich,Schüler*in,Wohngemeinschaft,Knielingen,08:38,09:03,Badisches Staatstheater,Weiherfeld-Dammerstock,Arztbesuch,4.3,multimodal,ja
13,28,weiblich,Schüler*in,Wohngemeinschaft,Knielingen,09:29,09:57,Weiherfeld-Dammerstock,Hohenwettersbach,Erholung,3.7,ÖPNV,nein
13,28,weiblich,Schüler*in,Wohngemeinschaft,Knielingen,16:16,16:35,Hohenwettersbach,Neureut,Freizeit,4.2,multimodal,ja
13,28,weiblich,Schüler*in,Wohngemeinschaft,Knielingen,23:51,00:22,Neureut,Blumenstraße,Arbeit,5.0,Fahrrad,nein
13,28,weiblich,Schüler*in,Wohngemeinschaft,Knielingen,01:18,01:29,Blumenstraße,Ständehaus,Arbeit,4.2,ÖPNV,nein
13,28,weiblich,Schüler*in,Wohngemeinschaft,Knielingen,03:30,04:06,Ständehaus,Tierpark Oberwald,Schule/Uni,2.8,ÖPNV,nein
13,28,weiblich,Schüler*in,Wohngemeinschaft,Knielingen,12:15,12:46,Tierpark Oberwald,Rintheim,Freizeit,7.8,zu Fuß,nein
13,28,weiblich,Schüler*in,Wohngemeinschaft,Knielingen,15:18,16:02,Rintheim,Südweststadt,Heimweg,6.0,Auto,nein
14,28,weiblich,Arbeitslos,alleinlebend,Durlach,05:57,06:36,Hofgarten,Turmberg,Sport,6.9,ÖPNV,nein
14,28,weiblich,Arbeitslos,alleinlebend,Durlach,08:19,08:45,Turmberg,Südweststadt,Arbeit,7.3,multimodal,ja
14,28,weiblich,Arbeitslos,alleinlebend,Durlach,09:45,10:17,Südweststadt,Majolika Manufaktur,Arbeit,4.3,Auto,nein
14,28,weiblich,Arbeitslos,alleinlebend,Durlach,14:52,15:03,Majolika Manufaktur,Durlach Zentrum,Freizeit,5.5,zu Fuß,nein
14,28,weiblich,Arbeitslos,alleinlebend,Durlach,16:33,16:56,Durlach Zentrum,Durlacher Allee,Begleitung,5.0,ÖPNV,nein
14,28,weiblich,Arbeitslos,alleinlebend,Durlach,18:10,18:27,Durlacher Allee,Karlsbader Straße,Einkaufen,3.4,E-Scooter,nein
14,28,weiblich,Arbeitslos,alleinlebend,Durlach,20:06,20:40,Karlsbader Straße,Gartenstraße,Schule/Uni,6.6,Auto,nein
14,28,weiblich,Arbeitslos,alleinlebend,Durlach,23:40,00:05,Gartenstraße,Hofgarten,Heimweg,4.4,Auto,nein
15,41,weiblich,Arbeitslos,alleinlebend,Innenstadt,06:34,07:05,Rüppurr,Hofgarten,Arztbesuch,4.3,Auto,nein
15,41,weiblich,Arbeitslos,alleinlebend,Innenstadt,14:40,15:19,Hofgarten,Stadthalle Karlsruhe,Freizeit,5.7,multimodal,ja
15,41,weiblich,Arbeitslos,alleinlebend,Innenstadt,17:14,17:58,Stadthalle Karlsruhe,Grötzinger Straße,Sport,4.3,multimodal,ja
15,41,weiblich,Arbeitslos,alleinlebend,Innenstadt,18:57,19:22,Grötzinger Straße,Rheinhafen,Arztbesuch,5.7,Fahrrad,nein
15,41,weiblich,Arbeitslos,alleinlebend,Innenstadt,20:09,20:43,Rheinhafen,Rüppurr,Heimweg,5.9,ÖPNV,nein
16,70,weiblich,Student*in,Wohngemeinschaft,Mühlburg,06:59,07:26,Kleine Kirche,Durlacher Allee,Schule/Uni,4.2,Auto,nein
16,70,weiblich,Student*in,Wohngemeinschaft,Mühlburg,15:50,16:35,Durlacher Allee,Kaiserallee,Arztbesuch,3.6,zu Fuß,nein
16,70,weiblich,Student*in,Wohngemeinschaft,Mühlburg,00:38,01:02,Kaiserallee,Herrenstraße,Schule/Uni,4.7,ÖPNV,nein
16,70,weiblich,Student*in,Wohngemeinschaft,Mühlburg,03:30,04:15,Herrenstraße,Neureut,Erholung,4.3,ÖPNV,nein
16,70,weiblich,Student*in,Wohngemeinschaft,Mühlburg,06:09,06:35,Neureut,Kleine Kirche,Heimweg,3.0,Fahrrad,nein
17,53,weiblich,Schüler*in,Paar ohne Kinder,Mühlburg,06:45,07:28,Generalbundesanwalt,Nordstadt,Schule/Uni,3.1,ÖPNV,nein
17,53,weiblich,Schüler*in,Paar ohne Kinder,Mühlburg,07:41,07:51,Nordstadt,Herrenstraße,Arbeit,6.0,Auto,nein
17,53,weiblich,Schüler*in,Paar ohne Kinder,Mühlburg,09:26,09:44,Herrenstraße,Bundesverfassungsgericht,Arbeit,4.6,E-Scooter,nein
17,53,weiblich,Schüler*in,Paar ohne Kinder,Mühlburg,10:20,10:51,Bundesverfassungsgericht,Generalbundesanwalt,Heimweg,4.6,Fahrrad,nein
18,57,männlich,Selbstständig,alleinlebend,Durlach,05:49,06:08,Oststadt,Siemensallee,Schule/Uni,4.7,Auto,nein
18,57,männlich,Selbstständig,alleinlebend,Durlach,06:20,06:44,Siemensallee,Grünwettersbach,Arztbesuch,7.7,ÖPNV,nein
18,57,männlich,Selbstständig,alleinlebend,Durlach,08:41,09:10,Grünwettersbach,Alter Schlachthof,Schule/Uni,5.3,multimodal,ja
18,57,männlich,Selbstständig,alleinlebend,Durlach,14:00,14:20,Alter Schlachthof,Sandkorn Theater,Einkaufen,4.0,Fahrrad,nein
18,57,männlich,Selbstständig,alleinlebend,Durlach,19:48,20:28,Sandkorn Theater,Durlach Zentrum,Schule/Uni,6.2,ÖPNV,nein
18,57,männlich,Selbstständig,alleinlebend,Durlach,20:39,21:18,Durlach Zentrum,Oststadt,Heimweg,7.2,Auto,nein
19,41,männlich,Arbeitslos,Paar ohne Kinder,Neureut,05:49,06:16,Oberreut,Kaiserstraße,Arbeit,5.9,Fahrrad,nein
